训练开始时间: Thu Aug 28 02:44:37 UTC 2025
Wandb离线模式已启用，日志将保存在: wandb_offline_logs/fragldm_base_20250828_024437
wandb: WARNING Path wandb_offline_logs/fragldm_base_20250828_024437/wandb/ wasn't writable, using system temp directory.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.7
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: WARNING Symlinked 3 files into the W&B run directory, call wandb.save again to sync new files.
Entropy of n_nodes: H[N] -2.475700616836548
Autoencoder models are _not_ conditioned on time.
alphas2 [9.99990000e-01 9.99988000e-01 9.99982000e-01 ... 2.59676966e-05
 1.39959211e-05 1.00039959e-05]
gamma [-11.51291546 -11.33059532 -10.92513058 ...  10.55863126  11.17673063
  11.51251595]

==================================================
训练配置:
- 模型: egnn_dynamics
- 数据集: qm9
- 条件: 无
- 部分条件化: 已启用
  - 噪声比例: 0.8
  - 掩码策略: connected
==================================================

Epoch: 0, iter: 56/12500, Loss 2.72, NLL: 2.72, RegTerm: 0.0, GradNorm: 5.7 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 57/12500, Loss 2.60, NLL: 2.60, RegTerm: 0.0, GradNorm: 4.7 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 58/12500, Loss 2.68, NLL: 2.68, RegTerm: 0.0, GradNorm: 8.7 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 59/12500, Loss 3.23, NLL: 3.23, RegTerm: 0.0, GradNorm: 5.3 | Cond: 0.24, Noise: 0.76
Epoch: 0, iter: 60/12500, Loss 2.56, NLL: 2.56, RegTerm: 0.0, GradNorm: 7.7 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 61/12500, Loss 2.64, NLL: 2.64, RegTerm: 0.0, GradNorm: 5.5 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 62/12500, Loss 2.79, NLL: 2.79, RegTerm: 0.0, GradNorm: 5.3 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 63/12500, Loss 2.88, NLL: 2.88, RegTerm: 0.0, GradNorm: 8.6 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 64/12500, Loss 3.02, NLL: 3.02, RegTerm: 0.0, GradNorm: 10.4 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 65/12500, Loss 2.62, NLL: 2.62, RegTerm: 0.0, GradNorm: 10.8 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 66/12500, Loss 2.92, NLL: 2.92, RegTerm: 0.0, GradNorm: 10.5 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 67/12500, Loss 2.65, NLL: 2.65, RegTerm: 0.0, GradNorm: 7.0 | Cond: 0.23, Noise: 0.77
